mondrian_group,sum_phi,n_null,min_null
a photo of a bed,16.597262883951515,14,50
a photo of a car,16.250035040180897,14,50
a visible apple in the scene,13.700235027363838,14,50
a photo of a bowl,13.08734287756894,14,50
a bus object,10.146800634950356,14,50
a small cat near the center,23.630654993697775,13,50
a vase object,17.032137218920585,13,50
a zebra in the scene,16.36301934121496,13,50
a airplane in the scene,15.37118282844265,13,50
a chair object,12.025700476059814,13,50
the bed in this image,11.89611545898886,13,50
a photo of a airplane,10.72061972687514,13,50
a close-up of a train,51.19659856364444,12,50
a close-up of a remote,23.50456066662147,12,50
a close-up of a clock,22.49498913035402,12,50
a small zebra near the center,21.176339583128133,12,50
a photo of a sink,16.21363323475716,12,50
a photo containing a fork,15.591967742021868,12,50
a person object,10.566454684245818,12,50
a close-up of a oven,23.910492984120808,11,50
a photo containing a car,21.033730177896896,11,50
a small couch near the center,19.831568872784242,11,50
a close-up of a bird,16.36833654155571,11,50
a photo of a kite,12.515044970901844,11,50
a visible backpack in the scene,12.147786990546043,11,50
a visible cow in the scene,8.48539344329866,11,50
a photo containing a elephant,24.23272004735555,10,50
a photo containing a wine glass,22.603886405431528,10,50
a photo containing a clock,19.85871526356101,10,50
a close-up of a cow,18.342226864727408,10,50
a close-up of a toilet,16.730668998359842,10,50
a close-up of a couch,16.06243776272989,10,50
a photo of a horse,9.372827238904193,10,50
a photo of a cell phone,8.434885788083765,10,50
a potted plant object,7.208978826397546,10,50
a tv object,7.1639283739599104,10,50
a dog object,6.320710271477094,10,50
a cup object,5.8039734299684955,10,50
a photo containing a hair drier,20.365849748469405,9,50
a photo containing a keyboard,19.96688610981318,8,50
a close-up of a knife,19.17224168490668,8,50
a photo containing a zebra,17.940455435833737,8,50
a photo containing a person,17.50840901180281,8,50
a close-up of a giraffe,16.92330370170917,8,50
a photo of a potted plant,10.519610711537396,8,50
a close-up of a skis,9.921235645250567,8,50
a visible sheep in the scene,9.131944383785498,8,50
the skis in this image,6.085203870653018,8,50
a handbag object,21.533095817261675,7,50
a vase in the scene,20.805515604261366,7,50
a photo containing a vase,19.227728819499507,7,50
a cat in the scene,19.08525510625988,7,50
a photo containing a traffic light,14.147640713852713,7,50
a photo of a dog,9.774702861384117,7,50
a photo of a zebra,8.062442508002377,7,50
the frisbee in this image,7.779889684309457,7,50
a photo of a elephant,7.3989970287969635,7,50
a close-up of a keyboard,17.187363349080623,6,50
a photo containing a motorcycle,16.50377064385984,6,50
a close-up of a cat,11.296946341999694,6,50
a photo containing a toaster,10.891495580506428,6,50
a oven object,6.219370459073394,6,50
a bear in the scene,17.93896184574398,5,50
a close-up of a bed,15.77514124306835,5,50
a close-up of a orange,8.19861172825611,5,50
a tennis racket object,3.105354769587696,5,50
a close-up of a baseball bat,17.312550011124724,4,50
a close-up of a airplane,15.257521884076484,4,50
a close-up of a person,14.642742810990967,4,50
the skateboard in this image,11.320429570429571,4,50
a photo containing a airplane,10.971956075307617,4,50
a close-up of a sheep,9.32730207072144,4,50
a visible keyboard in the scene,7.174975762376367,4,50
the elephant in this image,5.066646649775333,4,50
a photo of a teddy bear,2.5383106655973746,4,50
a photo of a dining table,14.650060714706857,3,50
a close-up of a dining table,14.33974992908533,3,50
a visible refrigerator in the scene,6.1337275627598205,3,50
the baseball glove in this image,4.210731622746186,3,50
a close-up of a wine glass,14.917611826175609,2,50
a close-up of a tv,13.80330058372769,2,50
a visible teddy bear in the scene,4.659923817369363,2,50
a visible skateboard in the scene,3.8152642741891354,2,50
a visible bowl in the scene,2.330357142857143,1,50
the sheep in this image,1.5639980824544584,1,50
the laptop in this image,0.9079313543599258,1,50
a donut object,0.6572802197802198,1,50
a photo of a cat,0.5343494085532302,1,50
